1stFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinType1,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,SalePrice,Has2ndFloor,HasMasVnr,HasOpenPorch,HasGarage,HasFinBsmt,ModsMade
1072,2,No,BLQ,Unf,1948,1285,TA,8635,50,5,5,672,1948,127000,1,0,0,1,1,1
1768,4,No,Unf,None,1968,1768,TA,10778,72,5,4,1768,1968,136500,0,0,0,0,0,0
682,2,No,Unf,Unf,1966,1230,TA,10440,60,6,5,440,1910,110000,1,0,0,1,0,1
1182,2,No,Rec,Fin,1968,2142,Gd,13000,100,6,6,896,1968,193500,1,1,1,1,1,0
1337,2,No,GLQ,Fin,1998,1337,TA,4500,32,5,6,1237,1998,153500,0,1,1,1,1,0
1563,3,No,GLQ,RFn,2007,1563,Gd,10206,78,5,8,1563,2007,245000,0,1,1,1,1,0
1065,3,No,Unf,Unf,1974,1065,TA,8892,80,5,5,1065,1960,126500,0,1,0,1,0,0
804,3,No,Unf,Fin,1995,1474,TA,8530,80,5,7,384,1995,168500,1,1,1,1,0,1
1301,4,No,Unf,Unf,1991,2417,Gd,16059,121,5,8,1288,1991,260000,1,1,1,1,0,1
684,3,Av,Unf,Fin,2005,1560,Gd,11911,122,5,6,684,2005,174000,1,0,1,1,0,0
612,3,Av,Unf,RFn,2009,1224,Gd,3951,40,5,6,612,2009,164500,1,1,1,1,0,0
1013,2,No,Unf,None,1915,1526,Fa,8470,105,2,3,1013,1915,85000,0,0,0,0,0,1
990,3,No,GLQ,None,1994,990,TA,8070,60,5,4,990,1994,123600,0,0,0,0,1,1
1040,2,None,Unf,Unf,1950,1040,TA,7200,60,5,4,0,1950,109900,0,0,1,1,1,0
1235,2,No,Rec,Unf,1961,1235,TA,8500,85,3,5,1235,1961,98600,0,1,0,1,1,0
964,2,No,ALQ,Unf,1921,964,TA,13360,80,7,5,876,1921,163500,0,0,0,1,1,1
1260,4,Mn,Rec,Unf,1900,2291,TA,7200,60,6,6,1214,1910,133900,1,0,0,1,1,1
905,3,No,GLQ,RFn,1997,1786,Gd,9337,69,5,6,824,1997,204750,1,0,1,1,1,0
680,3,No,Unf,Fin,1993,1470,TA,9765,60,8,6,680,1993,185000,1,1,1,1,1,0
1588,2,Av,ALQ,RFn,1999,1588,Gd,10264,78,5,7,1588,1999,214000,0,1,1,1,1,0
960,3,No,Rec,Fin,1965,960,TA,10921,73,5,4,960,1965,94750,0,1,0,1,1,0
835,2,No,ALQ,Unf,1920,835,TA,10625,85,5,5,458,1920,83000,0,0,0,1,1,1
1225,3,No,ALQ,None,1959,1225,TA,9320,77,5,4,950,1959,128950,0,0,0,0,1,0
1610,3,Mn,ALQ,RFn,1977,1610,Gd,10603,55,7,6,1610,1977,205000,0,1,1,1,1,1
977,3,No,BLQ,Fin,1985,1732,Gd,9206,77,5,6,741,1985,178000,1,1,1,1,0,0
1535,4,None,None,Unf,1979,1535,TA,7018,64,5,5,0,1979,118964,0,0,0,1,1,0
1226,2,No,Unf,RFn,2009,1226,Gd,10402,94,5,7,1226,2009,198900,0,0,1,1,0,0
1226,4,No,LwQ,Unf,1951,1818,TA,7758,79,4,7,1040,1931,169500,1,1,0,1,1,1
1053,3,No,Unf,RFn,2003,1992,Gd,9375,75,5,8,1053,2003,250000,0,1,1,1,0,1
1047,2,No,Unf,Unf,1954,1047,TA,10800,60,7,4,641,1885,100000,0,0,0,1,0,1
789,2,No,ALQ,Unf,1948,789,TA,6000,50,5,5,789,1948,115000,0,0,0,1,1,1
997,3,No,Unf,None,1919,1517,Fa,8500,85,7,5,793,1919,115000,0,0,0,0,0,1
1844,3,No,BLQ,RFn,1977,1844,TA,11751,105,6,6,1844,1977,190000,0,1,1,1,1,0
1216,4,No,Rec,Unf,1954,1855,TA,9525,75,4,6,994,1954,136900,1,0,0,1,1,1
774,3,No,GLQ,Fin,2000,1430,TA,7750,70,5,7,384,2000,180000,1,0,0,1,1,0
1282,4,Av,GLQ,RFn,2007,2696,Ex,9965,77,5,7,1264,2007,383970,1,1,1,1,1,0
2259,3,Mn,GLQ,Unf,1953,2259,Gd,21000,64,5,6,1809,1953,217000,0,1,1,1,1,0
1436,3,No,ALQ,Unf,1945,2320,Gd,7259,61,8,6,1028,1945,259500,1,0,0,1,1,1
729,2,No,GLQ,Unf,1999,1458,TA,3230,34,5,6,729,1999,176000,1,1,1,1,1,0
1092,3,No,LwQ,Unf,1962,1092,TA,11616,50,5,5,1092,1962,139000,0,1,1,1,1,0
1125,2,No,Unf,Unf,2007,1125,TA,8536,74,5,5,1125,2006,155000,0,0,1,1,0,1
1699,5,Mn,GLQ,Unf,1990,3222,Gd,12376,90,5,7,1673,1990,320000,1,0,0,1,1,0
728,3,No,Unf,Fin,2005,1456,Gd,8461,65,5,6,728,2005,163990,1,0,1,1,0,1
988,1,Gd,ALQ,Unf,1969,988,TA,21453,64,5,6,938,1969,180000,0,0,1,1,1,0
772,3,No,Unf,Unf,1979,1123,TA,6060,50,5,4,732,1939,100000,1,0,0,1,0,1
1080,3,No,BLQ,Unf,1958,1080,TA,9464,75,7,6,1080,1958,136000,0,1,0,1,1,0
1199,2,No,GLQ,RFn,1993,1199,Gd,7892,55,5,6,1199,1993,153900,0,0,1,1,1,0
1586,3,No,GLQ,Unf,1979,1586,TA,17043,48,5,6,1362,1979,181000,0,0,0,1,0,1
520,2,Av,GLQ,Unf,1935,754,TA,6780,60,8,6,520,1935,84500,0,0,0,0,1,1
958,2,No,ALQ,RFn,1977,958,TA,4928,65,5,6,1078,1976,128000,0,0,1,1,1,0
840,3,No,LwQ,None,1930,840,TA,4388,55,7,5,672,1930,87000,0,0,0,0,1,1
660,3,No,BLQ,RFn,1966,1348,TA,7590,69,5,6,660,1966,155000,1,1,1,1,1,0
1053,3,No,Rec,RFn,1998,1053,Ex,8973,69,7,5,1008,1958,150000,0,1,1,1,1,1
1216,4,No,Rec,Unf,1966,2157,Gd,14200,88,6,7,924,1966,226000,1,1,1,1,1,0
1022,3,No,GLQ,RFn,2000,2054,Gd,12224,55,5,6,992,2000,244000,1,1,1,1,1,0
1327,2,No,Rec,Unf,1974,1327,Gd,7388,75,6,5,1063,1959,150750,0,0,0,1,1,1
1296,2,No,GLQ,Fin,2001,1296,Gd,6853,36,5,8,1267,2001,220000,0,1,1,1,1,1
1721,3,No,Rec,RFn,1968,1721,TA,10335,78,6,5,1461,1968,180000,0,0,1,1,1,1
1682,3,No,Unf,Unf,1970,1682,TA,10400,80,6,7,1304,1970,174000,0,1,0,1,0,0
1214,3,No,BLQ,RFn,1967,1214,TA,10355,63,5,5,1214,1967,143000,0,1,1,1,1,0
1959,5,No,Unf,Unf,1989,1959,TA,11070,82,5,7,1907,1988,171000,0,1,0,1,0,1
1004,3,Mn,GLQ,Fin,1999,1852,Gd,9066,73,5,8,1004,1999,230000,1,1,1,1,1,1
928,3,No,GLQ,RFn,1997,1764,Gd,15426,65,5,6,928,1997,231500,1,0,1,1,1,0
864,3,No,ALQ,None,1971,864,TA,10500,70,5,4,864,1971,115000,0,0,0,0,1,0
1734,3,Av,GLQ,RFn,2005,1734,Gd,11645,78,5,7,1734,2005,260000,0,0,1,1,1,0
910,4,No,Rec,Unf,2000,1385,TA,8520,71,4,5,910,1952,166000,0,0,0,1,1,0
1501,3,Gd,GLQ,RFn,1999,1501,Gd,10335,78,5,7,1490,1999,204000,0,1,1,1,1,0
1728,6,No,Rec,Unf,1963,1728,TA,9100,70,5,5,1728,1963,125000,0,1,0,1,1,0
970,3,No,Unf,Unf,2004,1709,Gd,2522,24,5,6,970,2004,130000,1,1,1,1,0,1
875,2,No,BLQ,Unf,1931,875,TA,6120,51,7,5,715,1931,105000,0,0,0,1,1,1
884,3,No,Unf,Fin,2001,2035,Gd,9505,92,5,7,884,2001,222500,1,1,1,1,0,0
1080,3,No,GLQ,None,2004,1080,Gd,7500,63,5,7,1080,2004,141000,0,1,0,0,1,1
896,3,No,Unf,Unf,1936,1344,TA,6240,75,4,5,896,1936,115000,1,0,1,1,0,1
969,3,Av,BLQ,Unf,1975,969,TA,10356,120,6,5,969,1975,122000,0,0,0,1,1,0
1710,2,Gd,Rec,RFn,2007,1710,Gd,13891,107,5,8,1710,2007,372402,0,1,1,1,1,1
1097,4,No,Rec,RFn,1971,1993,TA,14803,91,5,6,825,1971,190000,1,1,1,1,1,0
1252,1,Gd,BLQ,RFn,1960,1252,TA,13500,80,7,6,1602,1960,235000,0,0,0,1,1,1
1200,4,No,Unf,Unf,1923,1200,TA,11340,84,5,6,1200,1923,125000,0,0,0,1,0,1
572,2,No,Unf,None,1924,1096,TA,9600,60,5,6,572,1924,79000,1,0,1,0,0,1
1040,2,None,None,Unf,1950,1040,TA,7200,60,7,5,0,1950,109500,0,0,0,1,1,0
774,4,No,BLQ,Fin,2009,1968,Ex,12003,92,5,8,774,2009,269500,1,1,1,1,0,1
991,3,No,GLQ,RFn,2004,1947,Gd,12552,100,5,7,991,2004,254900,1,0,1,1,1,1
1392,4,Mn,GLQ,RFn,2006,2462,Gd,19378,134,5,7,1392,2005,320000,1,1,1,1,1,1
1232,3,No,BLQ,Unf,1984,1232,TA,11120,64,6,6,1232,1984,162500,0,0,0,1,1,0
1572,3,Av,GLQ,Fin,2003,2668,Ex,13688,110,5,9,1572,2003,412500,1,1,0,1,1,1
1541,3,Mn,Unf,RFn,2005,1541,Gd,12182,95,5,7,1541,2005,220000,0,1,1,1,1,0
882,1,No,Unf,None,1956,882,TA,5500,55,6,4,882,1956,103200,0,0,0,0,0,0
1149,3,Mn,LwQ,Unf,1926,1616,Gd,5400,40,7,6,1149,1926,152000,1,0,0,1,1,1
808,4,No,ALQ,None,1940,1355,TA,10106,62,7,5,644,1940,127500,1,0,0,0,1,1
1867,2,No,LwQ,Fin,1955,1867,TA,10708,70,5,5,1617,1955,190000,0,0,0,1,1,1
1610,3,No,GLQ,Fin,2007,2161,Ex,10562,86,5,8,1582,2007,325624,1,1,1,1,1,0
840,3,No,Unf,Fin,2004,1720,Gd,8244,62,5,7,840,2004,183500,1,0,1,1,0,0
1707,2,No,Unf,RFn,1981,1707,TA,16669,62,6,8,1686,1981,228000,0,1,1,1,0,0
854,2,No,Rec,Unf,1991,1382,TA,12358,60,6,5,720,1941,128500,0,0,0,1,1,1
1656,3,Gd,BLQ,Fin,1960,1656,TA,31770,141,5,6,1080,1960,215000,0,1,1,1,1,0
1064,2,No,GLQ,RFn,1987,1767,Gd,5306,44,7,7,1064,1987,239000,1,0,1,1,1,0
1362,2,No,ALQ,RFn,1961,1362,TA,10197,80,5,6,1362,1961,163000,0,1,1,1,1,0
1651,3,No,ALQ,Fin,1986,1651,TA,12416,47,5,6,1606,1986,184000,0,1,0,1,1,0
2158,4,Av,ALQ,Unf,1950,2158,Gd,12615,84,7,6,1202,1950,243000,0,0,1,1,1,1
1164,4,No,GLQ,RFn,1988,2060,TA,10029,97,5,6,1151,1988,211000,1,1,1,1,1,1
1252,4,No,ALQ,Unf,1958,1920,Gd,13650,86,5,5,1052,1958,172500,1,0,0,1,1,0
2234,1,No,GLQ,Fin,2009,2234,Ex,17423,63,5,9,2216,2008,501837,0,1,1,1,1,1
968,2,No,Unf,Unf,1935,968,TA,8520,60,6,5,968,1923,100000,0,0,0,1,0,1
769,3,No,GLQ,Unf,2000,1525,Gd,2117,110,5,6,756,2000,177000,1,1,0,1,1,0
901,4,No,LwQ,Unf,1920,1802,TA,7588,54,6,7,793,1920,200100,1,0,0,1,1,1
1340,3,None,Unf,Unf,1957,1340,TA,9060,60,6,5,0,1957,120000,0,1,0,1,1,1
1362,3,No,Unf,Unf,2003,2082,Gd,11426,63,5,7,1362,2003,200000,1,0,1,1,0,0
936,3,No,Unf,Unf,1986,1252,TA,7438,92,8,5,504,1908,127000,1,0,0,1,0,1
1518,4,Mn,Unf,Unf,1993,3608,Ex,22950,90,9,10,1107,1892,475000,1,0,1,1,0,1
1217,3,Av,GLQ,Unf,1990,1217,Gd,9947,130,5,7,1188,1990,173000,0,0,1,1,1,1
808,3,No,Unf,Unf,1916,1656,TA,10410,60,7,5,660,1916,135000,1,0,0,1,0,1
1224,2,Av,GLQ,Unf,1979,1224,TA,7018,64,5,5,1086,1979,153337,0,1,0,1,1,0
1593,0,Av,GLQ,Fin,2001,1593,Ex,4923,41,5,8,1593,2001,286000,0,0,1,1,1,1
1549,3,No,Rec,Unf,1932,2727,Gd,10570,70,8,8,853,1932,315000,1,0,1,1,1,1
725,4,No,ALQ,Fin,1972,1479,Gd,7472,73,9,7,725,1972,184000,1,1,1,1,1,1
1431,3,Av,GLQ,Fin,1999,1431,Gd,9017,68,5,7,1431,1999,192000,0,0,1,1,1,0
970,2,No,Unf,Unf,2004,1709,Gd,2522,24,5,7,970,2004,130000,1,1,1,1,0,0
864,3,Av,ALQ,Unf,1989,864,TA,7180,60,7,5,864,1972,127000,0,0,0,1,1,0
855,3,No,ALQ,Unf,1976,1456,TA,2280,24,6,6,855,1976,148500,0,0,0,1,1,0
1726,3,No,None,RFn,2007,1726,Ex,9416,79,5,7,1726,2007,311872,0,1,1,1,1,0
1360,2,No,ALQ,Unf,1918,3112,Gd,25419,174,4,8,1360,1918,235000,1,0,1,1,1,1
929,5,No,Unf,None,1912,2229,TA,5520,92,6,6,755,1912,104000,1,0,1,0,0,1
1713,3,Av,GLQ,Fin,2004,1713,Ex,9591,76,5,8,1713,2004,274900,0,1,1,1,1,1
1121,2,No,Unf,RFn,2003,1121,TA,8546,80,5,4,1121,2003,140000,0,0,1,1,0,1
1279,3,No,ALQ,Unf,1980,1279,TA,10125,75,6,6,1196,1977,171500,0,0,1,1,1,0
865,2,No,LwQ,Unf,1924,1310,TA,7000,50,6,6,617,1924,112000,1,0,0,1,1,1
848,1,Av,GLQ,RFn,2004,848,Gd,4438,50,5,6,848,2004,149000,0,1,0,1,1,0
720,2,No,LwQ,Unf,1948,1284,TA,3500,50,7,5,720,1947,110000,1,0,1,1,1,1
1442,3,No,Unf,RFn,1990,1442,TA,11851,99,5,7,1424,1990,180500,0,0,1,1,0,0
1696,3,No,Unf,RFn,1962,1696,TA,13673,40,5,5,1140,1962,143900,0,0,1,1,0,0
1100,3,No,ALQ,RFn,1960,1100,TA,12493,72,5,4,1100,1960,141000,0,0,0,1,1,0
1180,3,Gd,GLQ,RFn,1988,2062,TA,14364,80,5,7,1157,1988,277000,0,1,1,1,1,1
1092,3,No,Rec,RFn,1964,1092,TA,8250,75,7,6,1092,1964,145000,0,1,0,1,1,0
864,2,No,Rec,None,1925,864,TA,5604,67,6,5,864,1925,98000,0,0,0,0,1,1
1212,3,Mn,GLQ,RFn,2009,1212,Gd,10420,83,5,6,1212,2009,186000,0,0,1,1,1,0
932,3,No,GLQ,RFn,2009,1852,Gd,8640,72,5,7,900,2009,252678,1,0,1,1,1,0
990,3,No,ALQ,Unf,1996,990,TA,13568,43,5,5,990,1995,156000,0,0,0,1,1,0
689,3,No,GLQ,Fin,1977,1392,TA,10900,103,7,6,689,1977,161750,1,1,1,1,1,0
1236,2,No,BLQ,Unf,1957,1236,Gd,10011,72,6,5,1070,1957,134450,0,1,0,1,1,1
1436,3,Mn,GLQ,RFn,2004,1436,Gd,8450,65,5,7,1436,2004,210000,0,1,1,1,1,0
810,3,No,Unf,Unf,1940,1328,TA,9906,57,4,4,686,1925,107000,1,0,1,1,0,1
1137,3,No,BLQ,Unf,1939,1954,Gd,15660,78,9,7,798,1939,311500,1,1,1,1,1,1
1248,2,Av,GLQ,Fin,2005,1248,Gd,3010,43,5,7,1248,2005,167240,0,1,0,1,1,1
1498,2,Mn,Unf,RFn,2006,1498,Gd,8990,73,5,7,1498,2006,204900,0,0,1,1,0,0
1010,4,No,Unf,RFn,2002,2267,Gd,8068,88,5,6,1010,2002,200000,1,0,1,1,0,0
811,3,No,ALQ,RFn,1975,1552,TA,11475,85,6,6,713,1975,179900,1,0,1,1,1,0
864,2,No,ALQ,Unf,1989,864,TA,10500,70,6,4,864,1971,97000,0,0,0,1,1,0
2392,3,Gd,GLQ,Fin,2003,2392,Ex,13472,103,5,10,2392,2003,386250,0,1,1,1,1,0
630,3,No,Unf,Unf,1991,1302,TA,1680,21,5,5,630,1971,112000,1,1,0,1,0,0
1214,4,No,GLQ,RFn,1995,2520,Gd,9950,82,5,7,1203,1995,290000,1,1,1,1,1,0
483,3,No,Rec,Unf,1987,987,TA,1869,21,6,6,483,1970,106000,1,1,0,1,1,0
912,3,No,ALQ,Unf,1974,912,TA,8521,70,5,5,912,1967,125000,0,0,0,1,1,0
1555,2,Av,GLQ,Fin,2005,1555,Gd,3182,43,5,7,1373,2005,192500,0,1,1,1,1,1
1194,3,No,Unf,RFn,1959,1194,TA,8760,73,6,6,1194,1959,148000,0,1,0,1,0,0
1490,4,No,Rec,Fin,1995,2794,Ex,15138,174,5,8,1462,1995,403000,1,1,1,1,1,1
483,2,No,Unf,Unf,1972,987,TA,1680,21,5,6,483,1972,94500,1,1,0,1,0,0
894,3,Av,LwQ,Unf,1976,894,TA,10650,75,6,5,894,1976,128200,0,0,0,1,1,0
860,4,No,GLQ,Fin,2002,1960,Gd,7851,70,5,6,860,2002,216500,1,0,1,1,1,0
483,2,No,ALQ,Unf,1971,987,TA,1680,21,3,6,483,1971,89500,0,1,0,1,1,0
1414,3,Av,GLQ,RFn,2004,1414,Gd,8773,65,5,7,1414,2004,185500,0,1,1,1,1,0
1014,3,No,BLQ,RFn,1993,1744,Gd,9453,66,7,7,996,1993,194500,1,0,1,1,1,1
1694,3,No,Unf,Fin,2007,1694,Gd,12030,93,5,8,1694,2007,318000,0,1,1,1,0,0
798,3,No,LwQ,Unf,1949,1487,TA,8741,52,4,6,735,1945,113000,0,0,1,1,1,1
1566,3,Av,GLQ,RFn,2008,1566,Gd,9000,75,5,8,1566,2008,262500,0,1,1,1,1,0
866,2,No,ALQ,None,1945,866,Gd,3880,40,9,5,686,1945,110500,0,0,1,0,1,1
889,3,No,Unf,Unf,1940,1440,TA,5000,63,4,5,540,1900,79000,1,0,0,1,0,1
626,3,No,GLQ,RFn,1980,1217,TA,10762,75,6,6,626,1980,120000,1,0,1,1,0,0
1222,3,No,GLQ,RFn,1994,2110,Gd,8880,92,5,7,948,1994,205000,1,0,1,1,1,1
1872,3,Av,GLQ,RFn,1988,1872,TA,10400,80,5,7,1845,1988,241500,0,1,1,1,1,0
908,4,No,Unf,Unf,1910,1928,Fa,9142,69,8,6,1020,1910,137000,1,0,1,1,0,1
1375,2,No,Unf,Unf,1954,1375,TA,11310,75,5,6,1367,1954,140000,0,0,1,1,0,0
840,3,No,ALQ,RFn,2003,1668,Gd,11317,72,5,7,840,2003,180000,1,1,1,1,0,0
1444,4,Gd,Rec,Fin,1958,2144,Gd,159000,69,7,6,1444,1958,277000,1,1,1,1,1,1
1306,3,No,Unf,None,1940,1306,Fa,5350,55,2,3,728,1940,76500,0,0,0,0,0,1
1625,2,Gd,GLQ,RFn,2006,1625,Gd,4750,44,5,8,1573,2006,235000,0,1,0,1,1,1
