1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1494,728,3,4,1200,6,279,576,2,1997,1494,3,9236,79,27,27,5,6,1479,1997,1997,217000
1646,445,2,4,1373,6,221,482,3,2004,1646,3,3842,44,174,53,5,8,1594,2004,2005,275000
864,622,3,3,390,5,474,352,1,1989,864,2,7180,60,320,75,7,5,864,1972,1972,127000
1566,797,3,3,1078,6,488,750,2,2008,1566,3,9000,75,36,168,5,8,1566,2008,2008,262500
735,660,3,1,593,4,130,497,1,1972,1395,2,12936,21,182,116,6,6,723,1972,1972,162000
848,504,2,1,152,4,628,539,1,1962,1208,2,6240,52,106,23,5,4,780,1925,1955,103000
939,574,4,2,626,1,939,180,1,1933,1513,2,6120,51,225,99,8,5,939,1920,2004,137500
959,408,3,1,425,2,459,560,2,1978,1367,2,6240,52,16,30,6,6,884,1931,2005,127500
955,370,3,1,763,4,192,386,1,1966,955,2,7742,66,108,36,7,5,955,1966,1966,127000
1077,600,3,1,348,1,1007,210,1,1922,1077,2,9786,60,108,100,4,3,1007,1922,1996,91000
1056,844,3,2,1056,3,706,572,3,1955,1056,2,34650,100,106,8,5,5,1056,1955,1955,145000
756,797,3,1,695,1,756,615,2,2005,1553,3,8125,65,286,45,5,7,756,2005,2006,186500
1614,936,3,3,20,6,1594,865,2,2005,1614,3,11210,86,240,59,5,7,1614,2005,2006,221500
2042,713,3,1,156,6,2042,1390,2,2009,2042,4,12704,98,306,90,5,8,2042,2008,2009,253293
1073,858,2,1,326,1,1073,326,1,1968,1073,2,5400,60,144,30,6,5,1073,1921,1968,108480
1072,213,2,1,336,4,295,240,1,1948,1285,2,8635,50,99,36,5,5,672,1948,2001,127000
2117,829,4,2,865,4,340,550,3,1970,2117,2,12925,110,443,42,7,6,1205,1970,1970,237500
605,844,2,2,348,4,180,796,1,1920,605,2,9098,58,14,98,7,4,528,1920,2002,86000
1150,1440,3,1,179,5,465,300,2,1959,1150,2,7945,70,75,103,6,5,1150,1959,1959,141000
728,728,1,1,1040,1,728,400,1,2005,1456,3,8029,51,166,24,5,6,728,2005,2005,176000
999,467,3,3,867,5,77,588,2,1961,999,4,12122,90,210,76,9,7,944,1961,2007,178400
750,750,3,1,428,1,750,564,2,2005,1500,3,8846,68,180,35,5,6,750,2005,2006,173900
1336,1312,2,2,841,4,324,375,1,1953,1336,2,15750,90,56,228,5,5,1165,1953,1953,157000
864,729,3,1,759,6,80,398,1,2004,1593,2,7415,62,306,75,5,6,839,2004,2004,193000
1130,1054,3,3,936,6,168,836,3,2008,2184,4,11308,96,154,102,5,9,1104,2008,2008,335000
1560,985,3,1,786,1,1560,573,3,2003,1560,3,9196,129,975,150,5,7,1560,2003,2003,201000
888,874,3,1,386,2,342,312,1,1942,1644,3,9480,79,224,99,7,5,728,1942,1995,146500
630,1818,3,3,515,6,115,286,1,1970,630,3,1526,21,621,88,8,4,630,1970,2002,86000
1113,167,3,1,751,4,392,504,2,1987,1113,2,7917,108,174,30,7,6,1143,1976,1976,148000
1071,1101,3,1,720,1,1063,947,2,2006,2172,3,14154,109,350,62,5,7,1063,2006,2006,280000
796,550,2,1,144,1,560,384,1,1950,1346,2,11767,70,244,24,7,4,560,1910,2000,112000
1184,1426,4,3,64,6,1120,550,3,2007,2610,4,9000,75,162,364,5,8,1184,2007,2007,303477
1026,932,3,1,588,1,1026,936,3,2005,1958,3,10625,85,306,210,5,7,1026,2005,2005,250000
1468,634,3,1,1330,1,1468,898,3,2008,1468,3,9612,74,72,150,5,8,1468,2008,2009,244600
1302,432,4,0,738,0,983,539,1,1977,1734,3,10125,75,24,61,5,5,994,1977,1977,126000
768,432,3,1,352,4,416,240,1,1946,1200,2,11767,70,84,213,6,5,768,1946,1995,130500
1112,438,2,1,812,6,280,438,3,2007,1550,3,8125,65,100,168,5,7,1092,2006,2007,241000
954,795,5,1,732,1,795,440,1,1997,2230,2,6204,60,68,188,5,4,795,1912,2000,118500
1166,1120,3,1,1148,1,1064,240,1,1936,1639,2,10480,51,40,38,5,6,1064,1936,1971,115000
864,720,3,1,521,4,169,624,3,1964,864,2,9100,70,338,166,5,5,864,1958,1958,129900
1621,714,3,2,213,5,995,440,1,1984,1621,3,14145,91,200,45,7,7,1208,1984,1998,202500
483,504,3,1,162,5,321,264,1,1972,987,3,1680,21,510,102,8,6,483,1972,2007,118000
1238,1281,4,4,965,6,245,628,2,1989,2519,3,26178,42,293,27,5,7,1210,1989,1990,335000
765,600,3,1,765,2,138,440,1,1970,1365,2,2368,24,312,36,6,5,765,1970,1970,125000
1149,1141,4,2,336,1,1128,779,1,2002,2290,3,11250,80,293,88,5,8,1128,2002,2002,255900
1249,1347,4,3,403,1,1249,840,2,2006,2596,3,16259,111,370,154,5,9,1249,2006,2006,342643
907,1243,3,1,288,3,619,352,1,1964,907,2,8593,77,315,33,6,4,907,1957,1957,109008
855,1000,3,1,566,5,289,440,1,1976,1456,2,2280,24,98,304,6,6,855,1976,1976,148500
1190,1259,3,3,803,5,303,540,3,1962,1190,2,7728,70,120,18,6,5,1106,1962,1962,132500
858,408,2,1,322,5,536,684,1,1979,858,2,7340,86,100,50,6,4,858,1971,1971,110000
2223,589,3,4,1880,5,343,516,3,1973,2223,2,13651,95,1115,228,6,7,2223,1973,1973,244000
1005,591,2,1,1261,1,1005,672,1,1977,1005,1,10434,60,541,105,5,4,1005,1955,1955,115000
1086,809,3,1,462,1,712,409,3,1994,1895,3,10832,77,315,46,5,7,712,1994,1996,194500
1040,220,3,1,906,3,134,384,1,1965,1040,2,11200,70,292,48,5,5,1040,1965,1965,129500
1264,892,3,1,697,3,571,461,1,1960,1264,2,9300,73,324,144,5,5,1268,1960,1960,167500
874,887,3,1,1436,1,874,578,3,2007,1761,3,10207,84,106,105,6,7,874,2007,2007,227875
1034,898,3,3,539,6,473,888,1,1976,1034,2,12328,76,335,55,5,6,1012,1976,1976,169900
1363,1304,2,4,226,2,96,439,1,1954,1363,2,39104,73,183,84,7,7,1385,1954,2005,241500
1689,840,3,1,547,1,1436,480,1,1956,1689,2,9855,73,108,80,5,6,1436,1956,1956,127500
2113,1063,2,4,1696,6,413,839,3,1995,2113,3,10437,91,660,46,6,8,2109,1995,1995,350000
1573,590,3,1,788,6,785,544,2,2002,1573,3,9808,67,110,72,5,7,1573,2002,2002,227000
2364,648,3,4,2188,6,142,820,3,2009,2364,4,12919,100,760,67,5,9,2330,2009,2010,611657
1057,977,2,1,739,6,318,645,2,1998,2034,3,9375,60,573,36,5,7,1057,1997,1998,219500
1291,1070,2,2,1003,6,288,431,1,1996,1291,3,2887,60,295,36,5,6,1291,1996,1997,173000
858,686,2,4,696,4,162,478,0,1958,858,2,7207,50,53,29,7,5,858,1958,2008,116500
698,560,2,2,204,3,356,280,1,1939,1258,2,9060,60,1,111,5,6,560,1939,1953,105000
438,900,1,1,290,3,262,246,1,1930,438,1,8400,60,360,20,5,2,290,1920,1959,60000
672,728,3,1,209,5,463,440,3,1978,1400,2,7844,74,203,60,7,6,672,1978,1978,149500
954,728,2,1,320,1,920,240,1,1938,954,1,6305,50,1170,45,7,5,920,1938,2002,119750
1445,1347,4,4,564,2,563,645,2,1964,1445,2,12095,36,115,51,6,6,1127,1964,1964,158000
1072,351,2,4,459,1,88,525,3,2005,1072,2,3675,35,80,28,5,6,547,2005,2005,148000
1664,804,4,0,400,0,594,299,0,1965,1664,2,9825,75,381,111,5,5,648,1965,1965,100000
1445,689,5,1,623,1,844,441,1,1930,2134,3,11888,80,145,60,6,6,844,1916,1994,214500
1940,1254,4,2,428,4,537,380,1,1934,3194,2,12168,78,113,72,6,8,965,1934,1998,359100
912,912,4,3,789,1,912,1069,0,1971,1824,2,9400,94,270,8,5,6,912,1971,1971,139000
888,868,3,1,742,5,130,422,3,1996,1756,2,9303,70,42,122,5,6,872,1996,1997,204000
912,1063,2,1,595,5,317,576,1,1992,912,3,8872,72,300,240,8,5,912,1965,2008,147000
1509,776,3,3,783,6,678,600,2,1988,1509,3,10200,85,219,105,5,6,1461,1988,1989,175000
1160,448,3,1,264,4,712,216,1,1925,1608,3,6171,51,120,16,6,6,976,1925,1990,137450
1316,857,3,1,28,6,1288,397,3,2005,1316,3,10237,65,256,64,5,6,1316,2005,2006,169990
1015,686,3,1,489,3,279,450,1,1925,1015,2,6120,51,320,192,7,5,768,1925,1961,88000
756,378,3,1,312,5,444,240,1,1940,1134,2,8160,60,38,17,6,5,756,1940,1989,126000
1636,1120,3,1,63,6,1560,865,2,2006,1636,3,13501,116,208,60,5,8,1623,2006,2006,255000
660,660,3,1,300,1,660,400,3,2003,1320,3,7750,65,178,48,5,7,660,2003,2003,162000
1160,966,3,4,249,2,92,538,3,1967,2126,2,28698,75,184,32,5,5,1013,1967,1967,185000
1128,878,3,2,776,5,344,525,2,1963,1128,2,8700,80,148,20,6,5,1120,1963,1963,155000
1306,866,2,2,860,4,132,756,1,1968,1306,2,8712,64,233,50,7,5,992,1957,2000,153000
798,546,3,1,546,1,546,642,0,1970,1344,2,1533,21,280,234,6,4,546,1970,2008,97000
1576,978,3,1,1024,6,718,704,1,1996,2554,2,10800,60,110,48,8,7,718,1890,1998,159500
893,708,2,1,220,5,625,576,1,1985,893,3,9600,60,650,39,7,5,845,1949,2003,135000
894,1039,4,2,340,1,894,668,3,2007,1933,3,14598,86,74,18,5,6,894,2007,2007,214000
672,546,3,1,356,4,316,264,1,1973,1218,2,1890,21,285,28,5,6,672,1973,1973,113000
1161,808,3,1,566,1,808,534,2,1977,1969,2,11952,92,116,21,6,7,808,1977,1977,190000
1220,870,3,1,1079,6,141,556,2,1995,2090,3,10000,80,438,65,5,8,1220,1995,1996,240000
1484,885,3,3,998,5,486,487,1,1971,1484,2,12243,70,128,65,6,5,1484,1971,1971,175000
1656,950,4,1,20,1,1656,506,1,1973,1656,2,9246,87,564,211,5,5,1656,1973,1973,135000
818,406,3,1,468,3,350,210,1,1926,1224,2,3950,53,302,150,8,6,818,1926,2004,115000
1022,1032,3,1,695,6,297,390,2,2000,2054,3,12224,66,40,48,5,6,992,2000,2000,244000
854,462,2,1,1116,1,832,576,1,1991,854,2,6120,51,274,112,8,7,832,1929,2001,132000
546,546,3,1,334,4,212,286,2,1973,1092,2,1974,34,246,96,5,4,546,1973,1973,83500
1268,912,3,3,196,5,1072,252,1,1978,1268,3,9286,86,284,40,7,5,1268,1977,1989,143500
827,834,3,3,385,6,70,550,2,1996,1661,3,10667,43,664,61,6,7,799,1996,1996,212000
1668,689,3,3,370,4,315,502,3,2003,1668,3,10635,48,171,262,5,8,1657,2003,2003,232000
1493,1254,2,4,994,6,484,508,3,1997,1493,3,13125,75,215,39,5,6,1478,1997,1998,208900
932,767,2,1,180,1,932,306,1,1950,932,3,8280,57,360,24,5,6,932,1950,1975,124000
1277,213,2,4,778,6,499,526,1,1970,1277,2,10628,85,164,49,5,7,1277,1970,1970,167000
1530,914,3,3,1300,6,230,630,3,2004,1530,3,14572,182,228,36,5,7,1530,2004,2004,259000
1344,1611,2,1,457,5,193,484,1,1970,1344,2,9503,61,114,28,5,5,1024,1958,1983,144000
860,742,2,3,672,5,168,528,1,1996,860,2,8740,74,245,113,6,5,840,1982,1982,137000
1314,834,2,1,904,6,410,626,1,2008,1314,3,5001,34,166,62,5,7,1314,2007,2008,230000
1391,571,3,2,464,6,927,868,2,2006,1962,3,8760,73,40,90,5,7,1391,2006,2006,239799
788,702,3,3,724,6,64,388,3,2004,1490,3,15384,60,68,75,5,7,788,2004,2005,184000
848,762,1,3,662,6,186,420,1,2004,848,3,4426,51,169,30,5,6,848,2004,2004,143000
672,551,2,1,1173,1,672,240,1,1940,672,2,10200,60,650,36,8,5,672,1940,1997,108000
1188,1152,4,1,275,6,877,252,2,1941,2340,3,9042,66,259,60,9,7,1152,1941,2006,266500
808,704,3,1,336,1,660,180,1,1916,1656,2,10410,60,45,36,7,5,660,1916,1987,135000
725,754,4,1,626,5,99,484,3,1972,1479,3,7472,63,138,32,9,7,725,1972,2004,184000
1226,600,3,1,489,1,1226,740,2,2009,1226,3,10402,94,72,36,5,7,1226,2009,2009,198900
976,1111,5,4,568,2,264,444,3,1966,2087,3,12205,60,157,168,8,6,832,1966,2007,187500
1158,432,3,1,941,5,217,576,1,2006,1158,3,13072,63,202,50,5,6,1158,2004,2004,158000
1154,925,3,2,740,4,184,480,2,1966,1154,2,11000,30,200,58,6,5,1154,1966,1966,154000
880,844,3,3,111,1,880,527,3,1998,1724,3,8924,57,370,155,5,7,880,1998,1999,188000
773,885,3,1,219,6,554,431,3,1995,1658,2,8000,71,233,84,5,6,773,1995,1996,188000
1126,589,2,0,1157,0,935,520,3,2002,1126,3,8777,67,344,96,5,4,1050,1949,2003,108000
872,521,3,1,387,1,816,300,1,1955,1393,2,16466,59,156,244,7,5,816,1955,1955,135500
1968,1479,4,2,192,3,536,1014,2,1982,3447,3,14100,50,632,12,9,8,728,1935,1997,381000
483,504,2,1,309,4,174,264,1,1973,987,2,1953,21,408,70,5,6,483,1973,1973,83000
808,547,4,1,351,5,112,350,0,1940,1355,2,10106,62,76,24,7,5,644,1940,1999,127500
2069,1157,4,4,425,6,160,505,2,1960,2069,3,27650,313,306,98,7,7,585,1960,2007,242000
757,679,2,1,549,5,195,440,1,1999,1501,2,2280,24,360,69,5,7,744,1999,1999,179400
1976,1101,2,4,1350,1,626,908,2,2006,1976,3,14977,110,304,63,5,8,1976,2006,2007,440000
1563,521,3,1,33,6,1530,758,2,2007,1563,3,10206,78,468,99,5,8,1563,2007,2007,245000
572,539,2,1,1260,1,572,288,1,1982,1111,2,5700,50,148,26,7,7,572,1926,1970,116900
851,651,3,1,371,1,776,270,2,1931,1502,2,7200,60,157,60,6,7,776,1931,2000,149000
1733,978,4,0,560,0,528,452,1,1955,1733,2,13680,60,101,265,5,3,1728,1955,1955,139600
1848,880,4,1,1410,6,438,706,3,2006,2728,4,20431,56,870,36,5,9,1848,2005,2006,437154
630,672,3,1,231,5,399,264,1,1972,1302,2,1680,21,268,28,7,5,630,1972,1972,119500
1332,192,0,4,1258,6,74,586,3,1979,1524,3,23595,32,425,60,6,7,1332,1979,1979,260000
1120,468,4,0,866,0,40,680,3,1991,1588,2,17120,80,170,59,4,4,1079,1959,1959,134432
1125,998,2,1,862,1,1125,430,1,2007,1125,2,8536,74,922,64,5,5,1125,2006,2007,155000
520,600,2,1,493,1,600,480,2,2005,1200,3,3180,30,268,166,5,7,600,2005,2005,151000
798,842,3,1,1163,1,798,520,2,2004,1640,3,8366,65,202,45,5,6,798,2004,2004,173000
1223,904,3,1,1000,6,223,525,2,1994,2127,3,10944,81,448,132,5,7,1223,1994,1994,271000
972,504,2,1,680,5,292,240,1,1948,972,2,8000,50,294,152,6,6,972,1948,2002,132000
1142,878,3,1,584,6,544,466,2,1995,2020,3,9828,80,176,155,5,8,1128,1995,1995,239500
1144,720,2,3,739,4,405,596,1,1956,1144,2,9571,68,18,50,6,5,1144,1956,1956,129000
1352,728,3,3,300,4,468,288,1,1958,1352,3,6930,92,120,80,4,5,1062,1958,1958,130000
926,576,3,1,234,2,860,484,1,1974,1316,2,5500,50,338,120,7,5,926,1929,2001,130000
1086,838,3,3,956,6,130,592,2,1998,1924,3,12011,78,530,75,5,8,1086,1998,1998,280000
1164,1182,3,1,1040,5,124,240,1,1950,1164,2,10880,68,100,48,5,5,1164,1950,1960,125000
952,1134,2,2,852,5,100,840,1,1988,952,2,7350,60,287,66,7,5,952,1951,1951,139000
938,1215,4,1,259,2,425,550,0,1872,2358,2,5250,50,604,54,5,8,684,1872,1987,122000
1680,518,3,1,808,6,72,540,3,1988,1680,3,21695,80,260,44,9,6,880,1988,2007,222000
1221,691,3,1,672,1,482,672,1,2003,1912,2,10800,60,350,25,7,6,482,1905,2000,163000
1004,994,2,1,578,5,426,480,3,1970,1004,2,11241,72,180,44,7,6,1004,1970,1970,149000
774,456,3,1,384,5,363,305,1,1946,1230,2,4712,51,84,57,7,4,747,1946,1990,121600
1167,1243,3,1,645,4,270,495,1,1972,1167,2,8731,98,922,274,5,5,915,1920,2006,144000
1301,720,2,2,405,2,740,440,1,1965,1301,1,6911,60,338,234,5,5,1145,1924,2004,100000
1453,1611,3,4,1082,6,371,445,2,1986,1453,3,5271,121,205,80,5,7,1453,1986,1986,190000
1601,1020,3,3,1358,6,223,670,2,2001,1601,3,11423,84,479,38,5,8,1581,2001,2002,272000
1588,978,3,3,616,1,1588,825,1,2006,1588,3,10000,85,410,45,5,8,1588,2006,2006,227000
1095,707,2,4,513,5,75,264,2,1958,1095,2,10382,75,105,87,5,6,588,1958,1958,140000
1050,378,3,1,915,3,135,368,1,1961,1050,2,10659,60,136,319,6,5,1050,1961,1961,136500
960,902,3,1,520,3,440,432,3,1965,960,2,10921,73,48,113,5,4,960,1965,1965,94750
1002,454,4,2,572,1,810,280,1,1954,1456,2,7585,50,44,231,3,5,810,1948,2005,91500
1489,811,3,1,341,1,1489,462,2,1968,1489,3,9156,100,192,175,7,6,1489,1968,1968,185750
1726,1177,3,1,1126,1,600,786,1,2007,1726,4,9416,79,205,138,5,7,1726,2007,2007,311872
1362,720,3,1,1059,1,1362,484,1,2003,2082,3,11426,63,123,238,5,7,1362,2003,2003,200000
1339,1177,3,1,1053,5,256,484,3,1990,1339,2,8049,50,54,58,5,7,1309,1990,1990,180000
1310,1140,3,2,781,6,503,1069,3,1998,2450,3,16545,70,731,126,5,8,1284,1998,1998,340000
879,984,4,3,712,1,879,660,3,2006,1863,3,14054,58,272,17,5,7,879,2006,2006,219210
768,596,2,3,656,6,112,396,1,1988,768,2,8445,70,318,74,7,5,768,1972,2007,133000
334,971,1,0,625,0,55,558,0,1946,334,1,5000,50,99,24,3,1,876,1946,2001,39300
1136,678,3,1,892,3,244,384,2,1965,1136,2,9200,80,135,21,6,6,1136,1965,1965,140000
1337,1032,2,1,1201,6,36,405,3,1998,1337,2,4500,32,443,199,5,6,1237,1998,1998,153500
912,783,2,1,312,3,736,288,1,1964,912,2,7800,66,196,90,5,5,912,1964,1964,115000
876,936,4,1,540,5,324,264,2,1962,1812,2,7590,69,288,168,5,5,864,1962,1962,169500
1052,720,4,1,378,5,342,240,2,1939,2192,3,8400,60,81,24,8,5,720,1939,1997,179500
658,526,5,1,57,1,658,296,0,1910,1184,2,8410,58,106,151,3,5,658,1910,1996,81000
964,925,4,1,662,1,925,308,1,1960,1889,2,10120,60,387,198,4,7,925,1910,2001,122000
1327,978,2,1,405,3,658,624,1,1974,1327,3,7388,75,205,64,6,5,1063,1959,2002,150750
