BedroomAbvGr,BsmtExposure,BsmtFinType1,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,OverallCond,OverallQual,TotalBsmtSF,SalePrice,Has2ndFloor,HasMasVnr,HasOpenPorch,HasGarage,ModsMade,SalePriceBand
2.0,1,3,2,46.281745861624536,0,13000.0,100.0,2,4,896.0,193500,1,0,0,0,0,4
3.0,0,1,1,44.26059195266146,0,9000.0,75.0,0,2,1088.0,270000,1,1,0,0,0,6
3.0,1,0,3,32.863353450309965,0,7500.0,63.0,0,3,1080.0,141000,0,0,1,1,1,2
2.0,1,1,0,37.30951621235526,0,3604.0,34.0,0,3,689.0,146000,1,1,0,0,0,3
3.0,1,3,0,31.432467291003423,1,9945.0,60.0,0,1,988.0,128500,0,0,1,0,0,2
4.0,1,6,1,44.474711915874174,1,9900.0,85.0,0,3,832.0,176000,1,0,0,0,0,3
2.0,0,2,1,39.84971769034255,0,10264.0,78.0,0,3,1588.0,214000,0,0,0,0,0,4
2.0,0,0,2,38.44476557348217,0,4403.0,60.0,0,3,1470.0,222000,0,0,0,0,0,5
3.0,2,1,2,46.05431575867782,2,14450.0,107.0,0,0,2121.0,415298,0,0,0,0,1,10
2.0,1,1,1,36.069377593742864,0,7200.0,60.0,0,3,1293.0,187750,0,1,0,0,0,4
1.0,1,0,1,35.22782990761707,0,4274.0,35.0,0,3,1241.0,199900,0,1,0,0,1,4
3.0,1,2,2,39.02563260217571,1,11361.0,104.0,0,4,1193.0,180000,0,0,1,0,0,4
2.0,2,0,2,36.66060555964672,1,7060.0,78.0,0,3,1344.0,206300,0,0,1,0,1,4
2.0,0,1,1,35.21363372331802,0,8556.0,74.0,0,3,1240.0,194000,0,1,0,0,0,4
4.5,3,4,0,47.32863826479693,1,7018.0,64.0,0,1,0.0,142953,1,1,1,0,0,3
3.0,1,6,2,37.94733192202055,0,12546.0,72.0,1,4,1440.0,182900,0,0,1,0,0,4
3.0,1,1,1,29.393876913398138,1,9353.0,71.0,0,5,864.0,116050,0,1,1,0,0,2
3.0,1,5,2,40.98780306383839,0,10140.0,78.0,0,3,1650.0,213250,0,1,0,0,1,4
3.0,1,1,0,38.58756276314948,1,9900.0,60.0,1,4,778.0,139500,1,1,1,0,1,2
3.0,1,0,0,36.72873534441391,1,8450.0,65.0,0,3,1349.0,179000,0,0,0,0,1,4
2.0,1,1,0,30.01666203960727,1,6000.0,50.0,1,5,901.0,107900,0,1,1,0,1,2
3.0,1,2,1,40.0374824383352,0,7153.0,65.0,0,4,761.0,175900,0,1,0,0,0,3
3.0,1,1,0,33.94112549695428,0,14000.0,80.0,3,4,1092.0,158500,0,1,0,0,1,3
2.0,2,0,2,32.7414110874898,1,3675.0,35.0,0,1,547.0,145000,0,0,0,0,0,3
3.0,4,0,0,47.52893855326458,0,17695.875,64.0,0,4,1809.0,217000,0,0,0,0,0,5
3.0,4,5,0,32.2490309931942,0,8800.0,61.0,1,1,1040.0,150500,0,1,1,0,1,3
0.5,0,0,0,35.4682957019364,1,12900.0,60.0,6,5,1198.0,108959,0,1,1,0,0,2
3.0,1,2,2,38.742741255621034,0,7685.0,94.0,0,4,697.0,165600,1,0,0,0,1,3
3.0,0,0,2,38.28837943815329,0,8925.0,73.0,0,2,1466.0,201000,0,1,0,0,0,4
3.0,1,2,1,32.449961479175904,0,10007.0,72.0,1,1,1053.0,145500,0,0,1,0,1,3
2.0,1,0,1,41.8568990729127,2,7658.0,61.0,0,0,1752.0,319900,0,0,0,0,0,7
3.0,2,0,1,38.65229618017538,0,16196.0,113.125,0,3,1482.0,215000,0,1,0,0,0,5
3.0,1,6,1,37.749172176353746,1,10175.0,100.0,0,4,1425.0,180500,0,0,1,0,0,4
1.0,1,0,2,41.255302689472536,2,8769.0,65.0,0,0,1702.0,367294,0,0,0,0,0,9
2.0,1,1,2,42.42640687119285,2,11923.0,113.125,0,0,1800.0,239000,0,1,0,0,0,5
4.0,1,2,3,46.9041575982343,1,8777.0,67.0,1,1,1272.0,145900,1,1,0,1,1,3
3.0,1,1,0,40.8166632639171,0,5100.0,75.0,1,2,588.0,161000,1,1,0,0,1,3
4.5,1,2,1,51.82422213598579,0,16692.0,80.0,0,3,1392.0,250000,1,0,0,0,0,5
2.0,1,3,0,33.63034344160047,1,5925.0,50.0,1,5,907.0,89471,0,0,0,0,1,1
3.0,1,1,0,38.948684188300895,0,11435.0,70.0,1,2,792.0,230000,1,1,1,0,1,5
4.0,1,2,3,33.46640106136302,1,8402.0,70.0,0,1,1120.0,147000,0,1,0,1,0,3
3.0,1,1,2,38.49675310984031,0,9125.0,75.0,0,3,384.0,163900,1,0,0,0,0,3
2.0,1,2,0,29.393876913398138,1,10500.0,70.0,2,5,864.0,97000,0,1,1,0,0,1
3.0,1,3,1,34.46737587922817,1,12160.0,64.0,0,1,1188.0,142000,0,0,1,0,0,2
3.0,1,1,1,39.698866482558415,0,8125.0,65.0,0,3,770.0,197000,1,1,0,0,0,4
3.0,0,2,0,30.983866769659336,1,9873.0,60.0,0,5,960.0,129000,0,0,0,0,0,2
3.0,1,0,1,39.67366884975475,0,11957.0,75.0,0,2,1574.0,232000,0,0,0,0,0,5
3.0,1,1,3,38.948684188300895,3,8500.0,85.0,1,1,793.0,115000,0,1,1,1,1,2
3.0,0,2,1,38.262252939417984,1,12886.0,70.0,2,1,520.0,175000,0,1,1,0,1,3
3.0,1,1,1,48.41487374764082,0,10208.0,79.0,0,3,1264.0,265000,1,0,1,0,1,6
2.0,0,0,1,36.851051545376556,0,8198.0,59.0,0,3,1358.0,207000,0,0,0,0,0,4
3.0,1,1,1,41.10960958218893,1,8063.0,67.0,0,4,924.0,181000,1,1,0,0,0,4
3.0,2,3,0,37.17526059088221,1,17695.875,113.125,0,4,1362.0,176000,0,0,1,0,0,3
3.0,1,1,0,39.54743986657038,1,8400.0,70.0,2,4,650.0,171000,1,0,0,0,1,3
1.0,0,2,1,36.138621999185304,0,5381.0,34.0,0,4,1306.0,196000,0,0,0,0,0,4
2.0,1,0,0,33.71943060017473,0,13811.0,54.0,2,4,1112.0,176000,0,0,1,0,0,3
2.0,1,6,1,31.432467291003423,1,17695.875,100.0,0,1,988.0,113000,0,1,1,0,0,2
3.0,0,2,0,33.301651610693426,1,10500.0,70.0,1,1,372.0,139000,1,0,1,0,1,2
2.0,1,3,0,33.67491648096547,1,7000.0,70.0,1,1,1010.0,135000,0,0,0,0,1,2
4.0,1,2,1,51.12729212465687,1,10800.0,90.0,1,4,1522.0,240000,1,1,0,0,1,5
2.0,1,5,0,36.193922141707716,1,7000.0,50.0,2,4,617.0,112000,1,1,1,0,1,2
3.0,1,2,0,32.863353450309965,1,9187.0,71.0,0,4,1084.0,134000,0,1,1,0,0,2
1.0,2,0,2,46.17358552246078,0,12327.0,79.0,3,2,1496.0,316600,1,1,0,0,1,7
4.0,1,1,1,43.81780460041329,0,10192.0,102.0,2,3,570.0,170000,1,0,0,0,1,3
2.0,1,1,0,33.436506994600975,1,4400.0,40.0,3,4,648.0,116000,0,1,1,0,1,2
3.0,1,0,1,41.27953488110059,0,11478.0,98.0,0,2,1704.0,306000,0,0,0,0,1,7
1.0,1,6,1,29.34280150224242,1,12342.0,92.0,0,5,861.0,82500,0,1,1,0,1,1
3.0,1,2,0,41.7492514902962,1,11700.0,90.0,2,4,702.0,175000,1,0,1,0,0,3
3.0,1,3,0,31.416556144810016,1,1869.0,28.125,2,4,483.0,106000,1,0,1,0,0,1
2.0,0,0,1,34.92849839314596,0,7406.0,64.0,0,3,1199.0,194000,0,0,0,0,0,4
2.0,0,1,2,37.44329045369811,0,3922.0,53.0,0,3,1258.0,194201,0,0,0,0,1,4
3.0,4,0,1,29.120439557122072,0,4435.0,37.0,0,4,848.0,155900,0,0,1,0,0,3
3.0,1,2,0,31.464265445104548,1,8072.0,60.0,0,1,990.0,138000,0,1,0,0,1,2
2.0,0,2,1,36.837480912787726,2,11512.0,113.125,1,4,1019.0,177000,0,0,1,0,1,3
3.0,1,0,1,39.179076048319466,0,10171.0,70.0,0,3,1517.0,214000,0,0,1,0,0,4
2.0,0,0,0,30.23243291566195,1,8846.0,57.0,0,1,870.0,148000,0,1,1,0,0,3
3.0,1,1,0,35.38361202590826,1,7438.0,92.0,3,1,504.0,127000,1,1,1,0,1,2
3.0,0,0,0,31.670175244226233,1,7937.0,37.0,2,4,1003.0,142500,0,1,1,0,0,2
1.0,0,0,0,25.099800796022265,1,1477.0,28.125,6,5,630.0,80000,0,1,1,0,0,1
3.0,0,0,0,33.734255586866,1,10482.0,65.0,3,4,588.0,145000,0,0,1,0,0,3
4.0,1,3,2,41.42463035441596,1,9247.0,70.0,2,4,858.0,171000,1,0,0,0,0,3
2.0,1,2,0,36.945906403822335,1,1920.0,28.125,0,1,765.0,122500,1,0,0,0,0,2
3.0,1,5,0,36.59234892706397,1,7560.0,70.0,2,1,1029.0,139000,0,1,1,0,1,2
2.0,4,0,2,35.04283093587046,0,4671.0,40.0,0,2,1228.0,189000,0,1,0,0,1,4
2.0,1,2,0,27.892651361962706,1,6900.0,71.0,2,1,740.0,120500,0,1,0,0,1,2
3.0,1,3,3,32.2490309931942,1,8430.0,60.0,0,1,1040.0,124000,0,0,1,1,0,2
4.5,4,1,3,43.9089968002003,1,7082.0,110.0,3,1,686.0,160000,1,1,1,1,1,3
4.5,1,5,1,51.32250968142536,1,11643.0,91.0,0,1,1248.0,200000,1,0,1,0,0,4
3.0,1,1,0,35.369478367654786,1,8800.0,80.0,2,4,1251.0,160000,0,0,0,0,0,3
3.0,4,0,2,46.400431032480725,2,11050.0,43.0,0,0,1440.0,313000,1,0,0,0,0,7
3.0,2,1,1,42.2729227756965,0,14781.0,63.0,0,2,1753.0,275000,0,0,0,0,1,6
2.0,1,6,3,29.393876913398138,1,8248.0,45.0,4,7,864.0,67000,0,1,1,1,1,0
4.5,1,0,0,33.37663853655727,0,13695.0,66.0,0,1,1114.0,159000,0,1,0,0,0,3
2.0,0,0,1,40.64480286580315,2,5330.0,41.0,0,2,1494.0,251000,0,1,0,0,0,6
2.0,3,4,0,32.2490309931942,1,8544.0,60.0,6,7,0.0,92900,0,1,1,0,0,1
2.0,1,2,3,28.0,0,6130.0,50.0,2,1,784.0,109500,0,1,1,1,1,2
0.5,2,0,2,42.91852746774987,0,17695.875,68.0,0,0,1842.0,385000,0,1,0,0,1,9
3.0,1,5,0,48.78524367060187,1,17695.875,60.0,0,4,1021.0,129000,1,0,0,0,1,2
3.0,1,2,2,37.5632799419859,1,11900.0,85.0,0,3,1386.0,82500,0,0,1,0,0,1
4.0,2,5,1,51.82422213598579,0,10380.0,86.0,0,3,1502.0,301000,1,0,0,0,1,7
3.0,0,0,1,40.69397989875161,0,11096.0,84.0,0,2,1656.0,249700,0,1,0,0,0,5
1.0,0,2,3,25.099800796022265,1,1890.0,28.125,1,5,630.0,81000,0,1,1,1,0,1
3.0,0,0,0,38.36665218650175,1,14115.0,59.0,0,3,1372.0,187500,0,0,0,0,0,4
2.0,1,1,1,37.30951621235526,1,13560.0,113.125,4,4,1392.0,110000,0,0,1,0,0,2
2.0,1,1,0,40.43513323831146,0,5310.0,59.0,3,4,485.0,117000,1,1,1,0,1,2
3.0,4,3,1,29.393876913398138,1,9560.0,113.125,1,1,864.0,128500,0,1,1,0,0,2
2.0,2,0,1,38.80721582386451,0,3013.0,43.0,0,3,1362.0,213490,0,0,0,0,0,4
3.0,1,0,1,45.232731511594565,0,10625.0,85.0,0,3,998.0,284000,1,0,0,0,1,6
3.0,1,1,1,44.0,0,11194.0,106.0,0,2,1406.0,230500,1,0,0,0,0,5
2.0,1,1,2,43.45112196480086,0,16492.0,113.125,2,4,1517.0,190000,0,1,1,0,1,4
3.0,1,6,0,35.156791662493895,1,6993.0,65.0,1,1,912.0,135000,0,1,1,0,1,2
3.0,1,1,1,37.013511046643494,1,10400.0,80.0,0,3,1090.0,152000,0,0,1,0,0,3
2.0,3,4,0,32.2490309931942,1,8544.0,87.0,6,7,0.0,87500,0,0,1,0,1,1
3.0,1,2,1,33.689761055846034,0,7200.0,60.0,5,3,560.0,155000,1,1,1,0,1,3
3.0,1,2,3,29.393876913398138,1,10500.0,70.0,0,5,864.0,115000,0,1,1,1,0,2
3.0,1,1,0,33.15116890850155,0,9525.0,75.0,2,1,1099.0,144000,0,1,1,0,1,3
3.0,1,0,2,43.01162633521314,0,17695.875,93.0,2,3,973.0,248000,1,1,0,0,0,5
4.0,1,1,0,37.57658845611187,1,6000.0,50.0,2,4,780.0,132500,1,1,1,0,1,2
4.0,1,1,3,42.33202097703345,1,9000.0,60.0,0,1,896.0,136000,1,1,0,1,0,2
2.0,1,3,0,28.861739379323623,0,5400.0,90.0,1,1,833.0,117000,0,1,1,0,1,2
4.0,3,4,3,33.94112549695428,3,6040.0,65.0,0,5,0.0,82000,0,1,1,1,0,1
3.0,1,6,0,38.44476557348217,1,17600.0,50.0,0,4,1478.0,157500,0,0,0,0,0,3
2.0,1,5,0,35.832945734337834,1,3500.0,50.0,1,1,720.0,110000,1,1,0,0,1,2
3.0,1,1,2,40.92676385936225,1,17695.875,60.0,0,4,841.0,181000,1,1,0,0,0,4
3.0,3,1,1,42.14261501141095,0,14006.0,65.0,0,3,936.0,192500,1,0,0,0,0,4
3.0,4,0,1,42.261093218230876,0,11250.0,68.0,0,3,920.0,223500,1,0,0,0,1,5
3.0,2,2,1,35.52463933666322,1,9600.0,80.0,3,4,1262.0,181500,0,1,1,0,0,4
2.0,1,1,1,32.984845004941285,0,3696.0,85.0,0,2,1074.0,170000,0,1,0,0,0,3
1.0,0,0,1,36.87817782917155,0,5814.0,78.0,0,2,1220.0,187500,0,1,1,0,0,4
3.0,1,0,1,39.774363602702685,0,8320.0,64.0,0,3,770.0,185900,1,1,0,0,0,4
2.0,1,3,0,36.16628264005025,1,9600.0,113.125,1,1,728.0,160000,1,1,0,0,1,3
3.0,0,0,2,37.82856063875548,0,9017.0,68.0,0,3,1431.0,192000,0,1,0,0,0,4
3.0,1,6,0,37.8021163428716,0,14585.0,80.0,2,4,1144.0,181900,0,0,0,0,1,4
3.0,4,1,1,44.034077712607996,0,10728.0,84.0,0,2,1095.0,266000,1,1,0,0,0,6
2.0,1,1,3,29.393876913398138,1,4060.0,56.0,3,1,864.0,99900,0,1,0,1,1,1
3.0,2,1,2,51.82422213598579,0,13682.0,66.0,0,6,1410.0,438780,1,0,1,0,0,11
3.0,4,0,1,36.24913792078372,0,8640.0,72.0,0,2,1300.0,229456,0,0,0,0,0,5
3.0,1,0,2,42.8485705712571,0,9100.0,70.0,0,3,1860.0,216837,0,1,0,0,1,5
2.0,1,2,3,29.427877939124322,0,3880.0,40.0,5,1,686.0,110500,0,1,0,1,1,2
1.0,1,0,1,39.61060464067672,0,3635.0,51.0,0,3,1386.0,175900,0,0,0,0,0,3
4.0,2,2,2,51.82422213598579,2,17695.875,47.0,0,2,1650.0,538000,1,0,0,0,0,13
3.0,2,0,2,51.82422213598579,2,17695.875,113.125,0,6,2202.875,160000,1,0,0,0,0,3
3.0,1,0,2,41.701318923986086,0,2645.0,28.125,0,2,970.0,172500,1,0,1,0,1,3
