1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
729,717,3,4,604,6,125,406,1,1996,1446,2,21872,57,158,22,5,7,729,1996,1997,175000
1561,406,2,1,1153,6,408,556,3,2005,1561,4,7313,60,246,47,5,9,1561,2005,2005,277500
882,728,3,1,138,2,276,461,1,1980,882,2,7700,70,189,40,5,5,882,1972,1972,112500
912,1182,4,1,568,1,912,615,3,2003,2094,3,9375,75,108,182,5,7,912,2003,2004,263000
1500,1070,3,3,1032,6,431,712,2,1994,2622,3,12256,98,362,32,5,8,1463,1994,1995,325000
2158,1242,4,3,477,5,725,576,1,1950,2158,3,12615,84,424,29,7,6,1202,1950,2001,243000
1360,871,3,1,384,5,151,572,1,1962,1360,2,7134,60,106,50,5,5,384,1955,1955,130000
1310,546,3,3,24,6,1286,400,3,2005,1310,3,8767,65,92,60,5,7,1310,2005,2005,164990
1836,1080,3,2,1039,6,797,862,3,2004,1836,3,11362,107,42,185,5,8,1836,2004,2005,280000
1490,1304,4,1,689,6,773,810,3,1995,2794,4,15138,174,506,146,5,8,1462,1995,1996,403000
1728,1347,6,1,40,6,1424,352,1,2002,1728,2,10624,50,84,166,4,5,1728,1964,1964,119000
825,1092,2,1,180,2,390,720,2,1963,825,2,8235,49,233,50,7,5,825,1955,1995,125000
894,804,3,3,182,2,768,308,1,1976,894,2,10650,75,175,18,6,5,894,1976,1976,128200
918,765,3,1,226,2,192,440,2,1978,1683,2,11184,70,92,75,5,6,918,1978,1978,172500
930,708,2,0,374,4,234,308,1,1946,930,3,11100,60,420,160,7,4,1085,1946,2006,84900
1572,1096,3,3,1016,6,556,726,3,2003,2668,4,13688,110,664,28,5,9,1572,2003,2004,412500
1073,840,3,1,836,5,237,515,2,1965,1073,2,10289,79,168,23,7,5,1073,1965,1965,156000
1334,1101,2,1,686,5,664,630,2,1977,1334,2,9650,80,360,16,5,6,1350,1977,1977,167900
788,880,2,1,266,3,522,576,0,1941,788,2,7446,24,189,27,5,4,788,1941,2005,100000
1644,744,2,4,1518,6,1008,569,3,1989,1644,3,12800,55,145,207,5,7,1518,1989,1989,275000
872,940,3,1,666,1,858,480,1,1974,872,2,8294,70,116,20,5,4,858,1971,1971,123000
768,664,2,1,383,1,264,360,1,1910,1432,2,9600,60,72,40,7,5,264,1910,2002,132000
901,900,3,1,650,1,893,800,2,2005,1801,3,10463,72,415,116,5,8,893,2005,2005,239900
1121,778,3,1,651,3,470,480,1,1963,1121,2,8816,80,262,80,6,5,1121,1963,1963,139000
789,809,2,1,104,5,516,250,1,1948,789,2,6000,50,206,48,5,5,789,1948,2007,115000
1054,523,3,4,763,6,173,480,2,1963,1054,3,8800,80,156,60,7,6,936,1963,1963,137500
1048,240,3,1,586,4,462,286,1,1956,1048,2,10152,72,120,20,5,5,1048,1956,1956,135000
1236,728,2,1,360,4,710,447,1,1957,1236,3,10011,72,64,90,6,5,1070,1957,1996,134450
1152,566,3,3,1014,6,138,484,2,1964,1152,2,14112,88,86,64,7,5,1152,1964,1964,180500
1679,764,3,1,1138,6,270,575,2,1994,1679,3,8125,65,258,42,5,6,1408,1994,1998,193500
1478,612,3,1,189,5,628,442,2,1957,1478,2,8400,70,51,48,3,6,1478,1957,1957,156500
928,808,2,1,377,3,551,252,1,1956,928,2,13300,70,921,73,7,5,928,1956,2000,132000
846,846,3,3,562,1,846,650,2,2009,1692,3,13159,83,660,114,5,7,846,2009,2009,224500
661,589,3,1,403,1,661,552,1,1985,1250,2,5362,53,216,28,6,5,661,1910,2003,139000
847,886,3,4,656,1,847,433,3,2003,1733,3,12394,70,426,48,5,7,847,2003,2003,225000
716,716,4,1,425,6,291,432,3,2004,1432,3,7795,71,160,51,5,7,716,2004,2005,188500
1077,883,2,1,851,6,140,205,2,1939,1077,2,7420,50,120,4,6,5,991,1939,1989,118000
944,623,2,0,450,0,212,528,1,1956,944,1,10206,74,381,76,3,3,6110,1952,1952,82000
1419,1538,2,3,945,6,474,567,2,2007,1419,3,8089,60,410,98,6,8,1419,2007,2007,392000
960,582,3,1,1440,1,672,288,1,1956,960,2,8926,70,232,121,3,4,672,1956,1956,112000
1646,896,3,3,378,6,1638,870,2,2007,1646,3,10656,67,274,80,5,8,1638,2006,2007,248900
999,472,3,3,784,4,141,300,1,1962,999,2,10205,69,292,72,5,5,925,1962,1962,134500
779,687,2,1,298,1,742,308,1,1988,935,2,9100,50,40,28,6,5,742,1930,1960,79500
1392,1070,4,2,57,6,1335,576,2,2006,2462,3,19378,134,456,132,5,7,1392,2005,2006,320000
1302,626,3,4,270,2,452,309,2,1964,1302,3,9350,85,108,27,7,6,1302,1964,1991,158000
936,707,2,4,936,6,572,672,1,1980,936,2,7200,60,180,88,5,5,936,1980,1980,140000
864,817,3,1,646,5,218,336,1,1978,864,2,7000,43,90,234,8,5,864,1978,2005,136500
820,527,3,4,969,6,148,516,0,1910,1347,2,7000,70,288,65,7,5,1117,1910,1991,107500
990,586,3,1,686,6,304,672,1,1996,990,2,9245,57,762,98,5,5,990,1994,1995,145000
1636,971,3,1,152,3,977,518,0,1946,3086,4,18030,138,226,60,6,5,1598,1946,1994,200500
1337,832,3,2,699,6,638,531,2,2003,1337,3,8450,65,120,39,5,7,1337,2003,2003,185000
694,600,3,1,2,1,672,936,1,1998,1214,2,10410,60,56,44,4,3,672,1915,1998,105000
1368,727,2,1,646,1,1368,474,2,2005,1368,3,6792,40,94,35,5,7,1368,2005,2006,202665
1212,714,3,2,36,6,1176,460,2,2009,1212,3,10420,83,216,22,5,6,1212,2009,2009,186000
1080,1274,3,1,570,4,510,288,1,1958,1080,2,9464,75,135,102,7,6,1080,1958,1958,136000
804,878,3,1,505,6,299,523,2,1998,1682,3,8750,70,116,77,5,6,804,1998,1998,200500
790,784,3,2,712,6,84,566,3,1976,1574,2,18800,43,120,111,5,6,796,1976,1976,190000
691,807,3,1,592,5,99,409,3,1995,1498,2,13031,80,448,44,5,6,691,1995,1996,187500
920,941,3,1,700,6,216,492,2,2002,1861,3,13450,95,106,91,5,7,916,2002,2002,200000
1258,850,2,3,381,1,1258,648,3,2007,1258,3,3922,53,72,16,5,7,1258,2006,2007,172500
1253,994,2,1,733,4,520,352,2,1960,1253,2,10920,52,212,213,5,6,1253,1960,1960,157000
1484,576,3,3,712,6,761,606,2,2004,1484,3,8400,70,109,35,5,7,1473,2004,2005,213000
1163,511,4,2,336,1,1163,396,3,1955,1674,2,21780,66,340,36,7,6,1163,1918,2006,185000
864,755,3,1,191,5,673,463,1,1994,864,2,8120,70,448,20,7,4,864,1970,1970,124500
1128,445,3,1,231,1,1078,360,1,1930,1573,2,6240,52,1600,243,7,5,1078,1930,1992,162900
1734,456,3,3,1300,6,434,660,1,2005,1734,3,11645,78,178,24,5,7,1734,2005,2005,260000
495,1427,4,0,646,6,1164,672,2,2003,1922,3,7301,64,500,182,5,7,982,2003,2003,198500
1340,625,3,0,969,1,556,252,3,1957,1340,2,9060,60,98,33,6,5,864,1957,2006,120000
698,728,3,1,535,4,155,440,3,1977,1426,2,7950,75,140,57,6,6,690,1977,1977,159500
720,900,2,1,1154,1,624,484,1,2005,720,2,8520,60,30,54,8,6,624,1928,2003,105900
1301,1116,4,1,340,1,1288,462,1,1991,2417,3,16059,121,284,82,5,8,1288,1991,1992,260000
796,566,1,1,732,6,64,480,1,1993,1362,2,14115,85,95,30,5,5,796,1993,1995,143000
951,640,2,1,285,5,666,327,1,1936,951,2,8765,50,216,28,6,4,951,1936,2003,106500
783,701,3,1,490,1,783,393,3,2005,1484,3,10237,65,1170,72,5,6,783,2005,2007,178900
773,582,3,1,1282,1,684,450,0,1914,1355,3,6882,60,153,50,7,6,684,1914,2006,127000
694,670,3,1,365,2,75,352,1,1990,694,3,4280,40,108,62,6,5,440,1913,2002,90350
1029,886,3,2,903,3,126,261,1,1961,1029,2,7943,61,192,192,5,4,1029,1961,1961,118500
1097,896,4,1,416,3,409,495,2,1971,1993,2,14803,24,252,66,5,6,825,1971,1971,190000
793,325,3,2,507,3,286,410,1,1939,1118,2,7800,65,268,523,7,5,793,1939,1978,119900
713,739,3,1,450,6,241,506,1,1999,1452,3,3735,35,218,34,5,7,691,1999,1999,183900
804,744,3,1,556,2,248,440,1,1976,1548,3,2308,24,84,48,6,6,804,1976,1976,155000
2392,742,3,4,56,6,2336,968,3,2003,2392,4,13472,103,922,105,5,10,2392,2003,2003,386250
1040,1000,3,1,824,5,216,308,3,1963,1040,2,7500,75,415,90,5,5,1040,1963,1963,133000
1182,960,2,1,448,3,448,509,3,1968,2142,3,13000,100,576,72,6,6,896,1968,1968,193500
1088,871,3,3,390,1,1088,1025,2,2006,1959,3,9000,75,1031,46,5,8,1088,2006,2006,270000
1080,729,3,1,680,6,400,496,0,2004,1080,3,7500,63,120,319,5,7,1080,2004,2005,141000
703,689,2,1,1218,1,689,540,1,2007,1392,3,3604,34,338,102,5,7,689,2007,2007,146000
988,601,3,1,827,3,161,572,1,1963,988,2,9945,75,57,146,5,5,988,1961,1961,128500
1098,880,4,1,552,4,280,486,2,1968,1978,2,9900,60,342,43,5,7,832,1968,1968,176000
1588,1067,1,3,1162,5,426,472,2,1999,1588,3,10264,78,183,29,5,7,1588,1999,1999,214000
1478,834,2,3,578,6,892,484,3,2009,1478,3,4403,70,432,144,5,7,1470,2009,2009,222000
2121,534,3,4,734,1,2121,732,3,2007,2121,4,14450,107,315,98,5,9,2121,2006,2007,415298
1301,798,2,1,471,1,1293,572,2,2006,1301,3,7200,60,36,121,5,7,1293,2006,2006,187750
1241,795,1,1,1106,6,135,569,1,2007,1241,3,4274,35,288,116,5,7,1241,2006,2007,199900
1523,482,2,1,644,5,549,478,3,1976,1523,2,11361,104,160,46,5,6,1193,1976,1976,180000
1344,1070,4,4,1309,6,35,784,3,1997,1344,2,7060,78,200,51,5,7,1344,1997,1998,206300
1240,1121,2,3,528,1,1240,826,2,2006,1240,3,8556,74,216,93,5,7,1240,2006,2006,194000
1120,1120,6,0,572,0,611,528,1,1979,2240,2,7018,64,215,70,5,5,1571,1979,1979,142953
1440,432,3,1,678,4,762,467,3,1981,1440,3,12546,80,310,48,7,6,1440,1981,1981,182900
864,1080,3,1,674,1,864,280,2,1972,864,2,9353,71,200,38,5,4,864,1970,1970,116050
1680,691,3,1,144,2,379,583,3,1998,1680,3,10140,78,324,73,5,7,1650,1998,1999,213250
944,545,3,1,612,1,778,240,1,1940,1489,2,9900,60,287,48,7,6,778,1940,2007,139500
1349,1196,3,1,750,6,1349,539,1,2000,1349,2,8450,65,108,55,5,7,1349,2000,2001,179000
901,534,2,1,656,1,901,281,1,1954,901,2,6000,50,170,312,7,4,901,1954,2000,107900
810,689,3,1,387,5,374,484,2,1992,1603,3,7153,65,200,124,5,6,761,1992,1992,175900
1152,455,3,1,1464,1,1092,300,1,1950,1152,3,14000,80,95,36,8,6,1092,1950,2004,158500
1072,1112,2,4,547,6,520,525,3,2005,1072,2,3675,35,80,28,5,5,547,2005,2005,145000
2259,1067,3,2,35,1,905,450,1,1953,2259,3,21000,85,184,120,5,6,1809,1953,1953,217000
1040,1242,3,2,532,2,364,484,1,1977,1040,3,8800,61,38,142,7,5,1040,1977,2008,150500
1258,767,0,3,1198,5,742,400,1,1969,1258,2,12900,60,289,144,4,4,1198,1969,1969,108959
697,804,3,1,518,5,179,420,3,1993,1501,3,7685,59,112,63,5,6,697,1993,1994,165600
1466,576,3,3,16,6,1450,610,3,2007,1466,3,8925,73,158,18,5,8,1466,2007,2007,201000
1053,551,3,1,806,5,247,312,2,1959,1053,3,10007,72,54,45,7,5,1053,1959,2006,145500
1752,456,2,1,456,6,1296,576,2,2005,1752,4,7658,61,412,82,5,9,1752,2005,2005,319900
1494,989,3,4,1443,6,39,514,2,1998,1494,3,16196,60,178,25,5,7,1482,1998,1998,215000
1425,672,3,1,490,1,935,576,2,1964,1425,2,10175,100,272,103,5,6,1425,1964,1964,180500
1702,787,1,1,1540,6,162,1052,3,2008,1702,4,8769,65,766,72,5,9,1702,2008,2008,367294
1800,595,2,1,539,1,1800,702,3,2007,1800,4,11923,122,288,136,5,9,1800,2007,2007,239000
1272,928,4,1,1084,5,188,200,0,1900,2200,2,8777,67,435,70,7,5,1272,1900,2003,145900
833,833,3,1,824,1,588,228,1,1925,1666,3,5100,100,110,63,7,8,588,1925,1996,161000
1392,1392,5,1,790,6,133,564,2,1978,2784,3,16692,80,184,112,5,7,1392,1978,1978,250000
1131,454,2,1,168,3,739,672,1,1995,1131,2,5925,50,435,72,7,4,907,1937,2000,89471
792,725,3,1,553,1,792,400,1,1931,1517,3,11435,70,18,36,7,8,792,1929,1999,230000
1120,512,3,1,206,5,914,420,0,2007,1120,2,8402,70,113,30,5,5,1120,2007,2007,147000
812,670,3,1,397,1,384,392,3,1992,1482,3,9125,73,170,25,5,7,384,1992,1992,163900
864,670,2,1,524,5,160,576,1,1989,864,2,10500,70,237,50,6,4,864,1971,1971,97000
1188,793,3,1,1000,3,188,531,2,1959,1188,2,12160,60,180,21,5,5,1188,1959,1959,142000
778,798,3,1,252,1,770,614,2,2006,1576,3,8125,65,104,50,5,7,770,2006,2006,197000
960,888,3,3,789,5,171,576,1,1970,960,2,9873,60,160,288,5,4,960,1970,1970,129000
1574,600,3,1,24,6,1550,824,2,2006,1574,3,11957,75,53,104,5,8,1574,2006,2006,232000
997,636,3,1,462,1,793,377,0,1919,1517,1,8500,85,144,98,7,5,793,1919,2005,115000
1464,888,3,3,444,5,76,480,2,1997,1464,2,12886,70,125,36,6,5,520,1963,1999,175000
1277,1067,3,1,662,1,1264,889,2,1996,2344,3,10208,79,921,502,5,7,1264,1996,1997,265000
1358,880,2,3,720,6,638,484,2,2004,1358,3,8198,59,146,30,5,7,1358,2004,2004,207000
948,742,3,1,226,1,924,463,2,2000,1690,2,8063,144,100,48,5,6,924,2000,2000,181000
1382,797,3,4,672,3,506,884,1,1991,1382,2,19296,120,399,68,5,6,1362,1962,1962,176000
888,676,3,1,104,1,650,476,1,1980,1564,2,8400,70,130,50,6,6,650,1980,1981,171000
1306,1347,1,3,900,5,406,624,1,2005,1306,3,5381,34,135,63,5,6,1306,2005,2005,196000
1137,830,2,1,980,6,92,551,1,1987,1137,3,13811,54,72,32,6,6,1112,1987,1987,176000
988,698,2,1,1386,1,988,520,2,1954,988,2,21750,100,245,152,5,5,988,1954,1954,113000
576,533,3,3,349,5,23,288,1,1971,1109,2,10500,70,82,102,7,5,372,1971,2005,139000
1134,834,2,1,588,3,422,254,2,1960,1134,2,7000,70,45,16,7,5,1010,1960,2002,135000
1548,1066,4,1,956,5,384,624,2,1974,2614,2,10800,90,226,243,7,6,1522,1974,1997,240000
865,445,2,1,617,2,326,398,1,1924,1310,2,7000,50,167,63,6,6,617,1924,2004,112000
1080,1112,3,1,336,5,748,484,1,1983,1080,2,9187,71,388,63,5,6,1084,1983,1983,134000
1496,636,1,4,1441,6,55,612,3,1983,2132,3,12327,79,456,40,8,8,1496,1983,2009,316600
1222,698,4,1,336,1,570,487,2,1968,1920,3,10192,102,143,98,6,7,570,1968,1992,170000
734,992,2,1,812,1,648,440,2,1990,1118,2,4400,40,108,67,8,6,648,1920,1996,116000
1704,780,3,1,1218,6,486,772,1,2008,1704,3,11478,98,200,50,5,8,1704,2007,2008,306000
861,684,1,1,262,4,599,539,3,1961,861,2,12342,32,261,36,5,4,861,1940,1976,82500
1041,702,3,1,384,5,143,539,1,1968,1743,2,11700,90,365,28,6,6,702,1968,1968,175000
483,504,3,1,321,3,162,280,1,1987,987,2,1869,21,127,120,6,6,483,1970,1970,106000
1220,983,2,3,684,6,515,632,2,2006,1220,3,7406,64,84,54,5,7,1199,2006,2006,194000
1402,741,2,3,492,1,1258,648,3,2006,1402,3,3922,53,72,16,5,7,1258,2006,2007,194201
848,665,3,2,662,6,186,420,2,2004,848,3,4435,37,169,204,5,6,848,2004,2004,155900
990,830,3,1,746,5,244,480,1,2000,990,2,8072,60,860,64,5,5,990,1994,1995,138000
1357,566,2,3,719,5,300,312,2,1959,1357,4,11512,124,84,16,7,6,1019,1959,2006,177000
1535,612,3,1,2,6,1515,532,2,2004,1535,3,10171,70,168,80,5,7,1517,2004,2004,214000
914,1157,2,3,298,6,572,576,1,1998,914,2,8846,57,270,211,5,5,870,1996,1996,148000
936,316,3,1,567,1,504,576,1,1986,1252,2,7438,92,284,36,8,5,504,1908,1991,127000
1003,464,3,3,819,6,184,588,2,1984,1003,2,7937,37,100,45,6,6,1003,1984,1984,142500
630,684,1,3,509,6,121,286,1,1970,630,2,1477,21,136,12,4,4,630,1970,1970,80000
1138,793,3,3,507,6,81,264,2,1958,1138,2,10482,65,63,68,8,6,588,1958,1958,145000
858,858,4,1,319,3,539,490,3,1962,1716,2,9247,70,318,84,6,6,858,1962,1962,171000
765,600,2,1,471,5,294,440,1,1971,1365,2,1920,24,376,36,5,5,765,1971,1971,122500
1339,1304,3,1,504,2,525,294,1,1958,1339,2,7560,70,351,46,6,5,1029,1958,1965,139000
1228,1101,2,2,767,6,461,472,3,1988,1228,3,4671,40,160,120,5,8,1228,1988,1989,189000
778,900,2,1,403,5,212,924,3,1966,778,2,6900,71,86,25,6,5,740,1940,1955,120500
1040,783,3,1,616,3,424,461,0,1978,1040,2,8430,60,136,192,5,5,1040,1978,1978,124000
948,980,5,2,620,1,686,539,0,1916,1928,2,7082,56,42,44,8,5,686,1916,1995,160000
1338,1296,6,1,500,2,748,968,1,1969,2634,2,11643,91,368,104,5,5,1248,1969,1969,200000
1251,829,3,1,553,6,698,461,2,1964,1251,2,8800,80,425,116,6,6,1251,1964,1964,160000
1476,677,3,2,904,6,536,736,3,2000,2153,4,11050,85,204,142,5,9,1440,2000,2000,313000
1787,868,3,4,1004,5,1753,748,2,2001,1787,3,14781,79,178,150,5,8,1753,2001,2002,275000
864,769,2,1,41,4,823,460,0,1914,864,2,8248,45,248,44,3,3,864,1914,2004,67000
1114,1080,4,1,646,6,468,576,1,2004,1114,3,13695,66,391,102,5,5,1114,2004,2004,159000
1652,620,2,3,1196,6,298,499,2,2000,1652,4,5330,41,170,48,5,8,1494,2000,2000,251000
1040,612,2,0,378,0,599,400,1,1987,1040,2,8544,60,238,16,4,3,1268,1950,1991,92900
784,665,2,1,784,5,133,308,0,1924,784,3,6130,50,246,96,6,5,784,1924,1970,109500
1842,717,0,4,1810,6,32,894,3,1981,1842,3,50271,68,148,72,5,9,1842,1981,1987,385000
1465,915,3,1,187,2,111,596,1,1965,2380,2,18450,85,113,265,5,6,1021,1965,1979,129000
1411,729,3,1,822,5,564,544,3,1977,1411,2,11900,85,209,38,5,7,1386,1977,1977,82500
1553,1177,4,4,28,2,1752,576,1,1987,2730,3,10380,86,172,96,5,7,1502,1986,1987,301000
1656,1080,3,3,24,6,1632,826,3,2006,1656,3,11096,84,594,146,5,8,1656,2006,2006,249700
630,713,1,3,495,5,135,429,0,1972,630,2,1890,21,1115,146,7,4,630,1972,1972,81000
1472,691,3,3,1036,6,336,588,1,1980,1472,2,14115,91,225,48,5,7,1372,1980,1980,187500
1392,812,2,1,602,1,1392,576,2,1968,1392,2,13560,120,216,17,3,6,1392,1968,1968,110000
1001,634,2,1,588,1,485,255,1,1950,1635,3,5310,59,340,60,8,6,485,1910,2003,117000
864,806,3,2,360,3,504,288,2,1972,864,2,9560,120,132,91,7,5,864,1972,1972,128500
1506,252,2,4,16,6,1346,440,1,2005,1506,3,3013,43,145,20,5,7,1362,2005,2005,213490
1006,1040,3,1,866,6,132,871,2,2003,2046,3,10625,85,292,62,5,7,998,2003,2004,284000
1454,482,3,1,714,1,1406,504,2,2000,1936,3,11194,106,40,124,5,8,1406,2000,2000,230500
1888,1296,2,1,247,6,557,578,3,1966,1888,3,16492,137,76,54,6,6,1517,1966,2002,190000
1236,1040,3,1,465,4,447,288,1,1961,1236,2,6993,65,50,58,7,5,912,1961,1994,135000
1370,612,3,1,24,1,1090,479,2,1976,1370,2,10400,80,189,45,5,7,1090,1976,1976,152000
1040,880,2,0,381,0,1800,400,1,1949,1040,2,8544,71,340,81,4,3,856,1949,1989,87500
575,560,3,1,350,5,40,576,2,1971,1135,3,7200,60,44,48,9,7,560,1936,2007,155000
864,728,3,1,432,5,432,520,0,1971,864,2,10500,70,268,84,5,4,864,1971,1971,115000
1099,888,3,1,256,1,1099,352,1,1999,1099,3,9525,75,215,48,6,5,1099,1995,2006,144000
979,871,3,1,595,6,378,467,3,1994,1850,3,29959,44,200,98,6,7,973,1994,1994,248000
825,587,4,1,1016,1,780,280,1,1939,1412,2,6000,50,246,547,6,6,780,1939,2005,132500
896,896,4,1,485,1,896,600,0,1974,1792,2,9000,60,480,45,5,5,896,1974,1974,136000
833,870,2,1,415,3,418,326,1,1955,833,3,5400,90,359,42,7,5,833,1954,2000,117000
1152,1032,2,0,625,0,879,301,0,1955,1152,1,6040,65,120,116,5,4,848,1955,1955,82000
1478,754,3,1,1270,4,208,498,1,1960,1478,2,17600,75,30,40,5,6,1478,1960,1960,157500
720,564,2,1,312,2,408,240,1,1948,1284,2,3500,50,1031,35,7,5,720,1947,1958,110000
892,783,3,1,1172,1,841,502,3,1999,1675,2,24682,100,128,103,5,6,841,1999,1999,181000
936,840,3,0,695,1,936,474,2,2002,1776,3,14006,65,144,96,5,7,936,2002,2002,192500
920,866,3,2,486,6,434,608,2,2001,1786,3,11250,68,162,42,5,7,920,2001,2002,223500
1262,1017,3,4,978,5,284,460,2,1976,1262,2,9600,80,44,46,8,6,1262,1976,1976,181500
1088,809,2,1,716,1,1074,461,2,1987,1088,3,3696,85,223,74,5,8,1074,1986,1986,170000
1360,495,1,3,1036,6,184,565,2,1984,1360,3,5814,61,328,110,5,8,1220,1984,1984,187500
770,812,3,1,490,6,280,520,2,2004,1582,3,8320,64,207,45,5,7,770,2004,2004,185900
976,332,2,1,428,3,300,256,1,1940,1308,2,9600,130,731,70,7,5,728,1940,2006,160000
1431,1336,3,3,560,6,871,666,3,1999,1431,3,9017,68,218,35,5,7,1431,1999,1999,192000
1429,808,3,1,594,4,331,572,1,1960,1429,3,14585,82,85,110,6,6,1144,1960,1987,181900
1095,844,3,2,394,1,1095,1053,2,2006,1939,3,10728,84,116,51,5,8,1095,2006,2006,266000
864,703,2,1,504,1,864,264,0,1922,864,2,4060,56,176,96,8,5,864,1922,1955,99900
1426,1519,3,4,369,1,1410,641,3,2006,2945,3,13682,66,1031,36,5,10,1410,2006,2006,438780
1314,676,3,2,936,6,364,552,2,2009,1314,3,8640,72,72,112,5,8,1300,2009,2009,229456
1836,432,3,1,24,6,1836,484,3,2004,1836,3,9100,70,108,33,5,7,1860,2004,2005,216837
866,1157,2,1,329,5,357,435,0,1945,866,3,3880,40,281,42,9,5,686,1945,1997,110500
1569,1169,1,1,988,6,398,660,1,2007,1569,3,3635,51,130,20,5,7,1386,2007,2007,175900
1690,1589,4,4,1416,5,234,841,3,2003,3279,4,53504,47,603,36,5,8,1650,2003,2003,538000
4692,950,3,4,5644,6,466,1418,3,2008,5642,4,63887,313,796,292,5,10,6110,2008,2008,160000
983,756,3,1,649,6,321,480,3,1999,1739,3,2645,24,456,36,5,8,970,1999,2000,172500
755,755,4,2,388,1,755,296,1,1940,1510,2,9084,60,140,28,5,4,755,1940,1977,108000
1050,745,4,1,353,1,1050,352,1,1954,1795,2,12150,81,335,72,5,5,1050,1954,1954,131500
694,600,3,0,1121,0,350,546,0,1900,1294,2,10800,60,168,114,7,4,848,1900,2000,106250
2084,1168,2,3,1636,6,442,1220,3,2007,2084,4,14803,114,816,45,5,10,2078,2007,2008,385000
